Bus,X,Y
57486497918189795AT,-38.3216159831,-7.400684859299999
59653239919323985AT,-38.12548333,-7.2977704302
57403160918142651AT,-38.3291606997,-7.404960552
59378429919368832AT,-38.150384972,-7.293761596
57652195918307705AT,-38.3066114162,-7.3900091827
56584151917356588AT,-38.4032701288,-7.476180454
61392807920244706AT,-37.9680963332,-7.2141642978
56554274917175492AT,-38.4059556537,-7.4925647536
61240412920890722AT,-37.9820423558,-7.1557644987
57232012918024089AT,-38.3446573648,-7.4157147026
59076256919230401AT,-38.177734746700004,-7.3063331829
56720921917498633AT,-38.390903465,-7.463305416
59221199919246319AT,-38.164609606300004,-7.304855013099999
61286574920453645AT,-37.977759686199995,-7.195288576699999
61295911921241932AT,-37.9770871129,-7.123987412000001
57287538918076407AT,-38.3396285304,-7.410968113200001
60176385919557170AT,-38.0781435661,-7.2765723636
60935792920156948AT,-38.0094689038,-7.2221932077
59715989919351405AT,-38.119803916100004,-7.2952793117
59585311919283911AT,-38.131629661999995,-7.301406915299999
57314860918091945AT,-38.337154982,-7.4095589898
56564481917148192AT,-38.4050541167,-7.4950549727
59475674919323407AT,-38.1415681482,-7.2978535626
59737860919360864AT,-38.1178301354,-7.2944066186
58884958919189780AT,-38.195063856,-7.310025474600001
61226185920572527AT,-37.9832664626,-7.184552440399999
61346911921509443AT,-37.9725232424,-7.0997869605999995
61395767922152745AT,-37.9682286387,-7.0415950326
60846854920142573AT,-38.0175210224,-7.2235107747
60486269919908637AT,-38.0501433091,-7.2447270903
57926871918642766AT,-38.2817723544,-7.3596632060000005
61325575921693642AT,-37.974491915,-7.0831315000999995
60968675920160903AT,-38.0064932989,-7.221814647
59273531919290853AT,-38.1598740831,-7.3008324580999995
61342487922227950AT,-37.9730528882,-7.0348009962999996
57457507918173349AT,-38.3242405313,-7.40217642
57338904918105766AT,-38.3349781568,-7.4083056037
59640088919306313AT,-38.1266845814,-7.2993649138
57002081917781521AT,-38.3654596649,-7.4376811562
61221419920773936AT,-37.9837387703,-7.166330611
61399828920228087AT,-37.9674570699,-7.215665950700001
PCO21890819,-37.967456449400004,-7.214101893
58630221919090328AT,-38.2181245246,-7.3190614102
59643418919288972AT,-38.1263668294,-7.3009390034
60535640919945931AT,-38.0456698986,-7.2413561048
60627344920016426AT,-38.037386371,-7.2349510738
59176512919235502AT,-38.1686563703,-7.3058409651
56985233917764945AT,-38.366984362,-7.439182766799999
56560799917152816AT,-38.405361503099996,-7.4946150629999995
57082336917860721AT,-38.3581975081,-7.4305069638
61369974920300435AT,-37.970188711999995,-7.2091347853
60834125920139976AT,-38.0186733588,-7.2237481418
59979500919464697AT,-38.0959543352,-7.2849852425999995
