,COD_ID,PAC_1,PAC_2,KEY,PN_CON_1,PN_CON_2,COMP,TIP_CND,x,y,TIP_UNID,P_N_OPE,COR_NOM,circ_Lin,circ_CTAT,circ_PAC_de,circ_PAC_pr,circ_cont,Cor,x1,y1,x2,y2,R1,X1,Corrente Max
0,46690752,84297380917809947AT,84297180917805247AT,SSDAT,49218834.0,49217516.0,47.043,16512290H-3,,,,,,11,84055813918392731AT,84297380917809947AT,84297180917805247AT,46,#6A5ACD,-35.8933758844,-7.4246972553,-35.8933909984,-7.4251219062,0.211,0.38,495
1,16520442,63203064926766017AT,63206030926789966AT,SSDAT,20013811.0,20013810.0,241.32,16512291H-3,,,,,,31,63154553925057175AT,63206030926789966AT,63203064926766017AT,247,#00FFFF,-37.8056237754,-6.6239780519,-37.8053607174,-6.6218115186,0.211,0.385,495
2,16520647,61559093922422870AT,61562314922416533AT,SSDAT,193298704.0,265687020.0,71.086,16512289H-3,,,,,,49,61546402922435765AT,61559093922422870AT,61562314922416533AT,4,#006400,-37.9534830478,-7.0171281624,-37.9531813262,-7.0176942164,0.268,0.304,322
3,16520649,52085488921731176AT,52112264921768010AT,SSDAT,20012760.0,20012783.0,455.379,16512289H-3,,,,,,2,50672794919216979AT,52085488921731176AT,52112264921768010AT,86,#1C1C1C,-34.9760942098,-7.137424153,-34.9760942098,-7.137424153,0.268,0.304,322
4,16520446,63206030926789966AT,63209946926819287AT,SSDAT,20013810.0,20013808.0,295.813,16512291H-3,,,,,,31,63154553925057175AT,63209946926819287AT,63206030926789966AT,245,#00FFFF,-37.8053607174,-6.6218115186,-37.8050129037,-6.6191588387,0.211,0.385,495
5,46690753,84297180917805247AT,84296180917798147AT,SSDAT,49217516.0,49217594.0,71.701,16512290H-3,,,,,,11,84055813918392731AT,84297180917805247AT,84296180917798147AT,47,#6A5ACD,-35.8933909984,-7.4251219062,-35.8934769799,-7.4257638413,0.211,0.38,495
6,16520650,52631681922440883AT,52653768922460640AT,SSDAT,20012439.0,20012851.0,296.34,16512289H-3,,,,,,30,52603094922414878AT,52631681922440883AT,52653768922460640AT,1,#778899,-38.7617157703,-7.0166157036,-38.7597167419,-7.014827309,0.268,0.304,322
7,16520448,63209946926819287AT,63212240926836975AT,SSDAT,20013808.0,20013807.0,178.361,16512291H-3,,,,,,31,63154553925057175AT,63212240926836975AT,63209946926819287AT,243,#00FFFF,-37.8050129037,-6.6191588387,-37.8048092657,-6.6175586156,0.211,0.385,495
8,46690754,84296180917798147AT,84294380917791347AT,SSDAT,49217594.0,49217593.0,70.342,16512290H-3,,,,,,11,84055813918392731AT,84296180917798147AT,84294380917791347AT,48,#6A5ACD,-35.8934769799,-7.4257638413,-35.8936355438,-7.4263791863,0.211,0.38,495
9,16520651,51715347921079220AT,51726497921099680AT,SSDAT,20012863.0,20012707.0,233.009,16512289H-3,,,,,,2,50672794919216979AT,51715347921079220AT,51726497921099680AT,60,#1C1C1C,-34.9760942098,-7.137424153,-34.9760942098,-7.137424153,0.268,0.304,322
10,16520449,63212240926836975AT,63215307926861334AT,SSDAT,20013807.0,20013916.0,245.513,16512291H-3,,,,,,31,63154553925057175AT,63215307926861334AT,63212240926836975AT,241,#00FFFF,-37.8048092657,-6.6175586156,-37.8045515497,-6.6153530247,0.211,0.385,495
11,66055413,94308307920809274AT,94314986920807765AT,SSDAT,66056302.0,66056300.0,68.473,66252126H-3,,,,,,39,94107382920710966AT,94308307920809274AT,94314986920807765AT,39,#66CDAA,-34.9903545337,-7.1468003354,-34.9897471334,-7.1469321229,1.364,0.32,750
12,16520652,59773570930514399AT,59796719930509136AT,SSDAT,20012306.0,20012259.0,237.397,16512297H-3,,,,,,32,59318483930426469AT,59773570930514399AT,59796719930509136AT,24,#00CED1,-38.1164318514,-6.2855811722,-38.1143384573,-6.2860536778,0.67,0.418,230
13,16520450,63215307926861334AT,63218231926884353AT,SSDAT,20013916.0,20013915.0,232.04,16512291H-3,,,,,,31,63154553925057175AT,63218231926884353AT,63215307926861334AT,239,#00FFFF,-37.8045515497,-6.6153530247,-37.8042920908,-6.6132705222,0.211,0.385,495
14,66055430,94314986920807765AT,94321882920806328AT,SSDAT,66056300.0,66056298.0,70.441,66252126H-3,,,,,,39,94107382920710966AT,94314986920807765AT,94321882920806328AT,40,#66CDAA,-34.9897471334,-7.1469321229,-34.9891206378,-7.1470570648,1.364,0.32,750
15,16520653,61356364923073977AT,61362235923082907AT,SSDAT,20010020.0,20009308.0,106.871,16512289H-3,,,,,,31,63154553925057175AT,61362235923082907AT,61356364923073977AT,866,#00FFFF,-37.9719640169,-6.9582793282,-37.9714343612,-6.9574704978,0.268,0.304,322
16,16520654,51995643921573436AT,52008574921596672AT,SSDAT,20012787.0,20012698.0,265.918,16512289H-3,,,,,,2,50672794919216979AT,51995643921573436AT,52008574921596672AT,79,#1C1C1C,-34.9760942098,-7.137424153,-34.9760942098,-7.137424153,0.268,0.304,322
17,66055439,94321889920806194AT,94327862920804795AT,SSDAT,66056298.0,66056297.0,61.346,66252126H-3,,,,,,42,94107339920710325AT,94321889920806194AT,94327862920804795AT,40,#00FA9A,-34.9891206378,-7.1470570648,-34.9885713427,-7.1471669773,1.364,0.32,750
18,16520451,63228331926959434AT,63230278926973638AT,SSDAT,20013909.0,20013908.0,143.368,16512291H-3,,,,,,31,63154553925057175AT,63230278926973638AT,63228331926959434AT,229,#00FFFF,-37.8033949181,-6.6064779068,-37.8032219102,-6.6051928557,0.211,0.385,495
19,16520656,50923880919746209AT,50949610919782193AT,SSDAT,20012802.0,20012776.0,442.366,16512289H-3,,,,,,2,50672794919216979AT,50923880919746209AT,50949610919782193AT,16,#1C1C1C,-34.9760942098,-7.137424153,-34.9760942098,-7.137424153,0.268,0.304,322
20,66055447,94321882920806328AT,94327917920804915AT,SSDAT,66056298.0,66056297.0,61.982,66252126H-3,,,,,,39,94107382920710966AT,94321882920806328AT,94327917920804915AT,41,#66CDAA,-34.9891206378,-7.1470570648,-34.9885713427,-7.1471669773,1.364,0.32,750
